,chain_id,cuisine_ids,product_group_ids,products,cuisines,products_len,cuisines_len,cuisines_predicted
111693,114230,,"[1, 2]","[1, 2]",[],2,0,[1 2]
112984,112254,,"[1, 2, 5, 6]","[1, 2, 5, 6]",[],4,0,[1 2 4 5]
113494,156646,,"[1, 2, 5, 40]","[1, 2, 5, 40]",[],4,0,[1 2]
116186,46354,[5],[6],[6],[5],1,1,[1 5]
116352,82638,"[1, 4]","[1, 6, 24]","[1, 6, 24]","[1, 4]",3,2,[1 5]
116464,56038,"[1, 2, 3, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 3, 5]",4,4,[1 2 3 5]
117912,150210,,"[5, 6, 26, 43]","[5, 6, 26, 43]",[],4,0,[1 3 4 5]
117967,40986,"[1, 2]","[1, 2, 6, 18]","[1, 2, 6, 18]","[1, 2]",4,2,[1 2 5]
121869,70006,"[1, 2]","[1, 2, 26, 36]","[1, 2, 26, 36]","[1, 2]",4,2,[1 2]
122650,127158,,"[1, 2, 6, 18]","[1, 2, 6, 18]",[],4,0,[1 2 5]
123867,109894,"[1, 2]","[1, 2]","[1, 2]","[1, 2]",2,2,[1 2]
125692,138326,,"[5, 19, 22, 34]","[5, 19, 22, 34]",[],4,0,[4]
125822,130578,,"[1, 2, 6, 18]","[1, 2, 6, 18]",[],4,0,[1 2 5]
126306,127302,,"[19, 29, 32]","[19, 29, 32]",[],3,0,[1 4]
126709,179266,,[1],[1],[],1,0,[1]
126784,9510,[1],"[1, 2, 23, 27]","[1, 2, 23, 27]",[1],4,1,[1 2]
129245,56034,"[1, 2, 3, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 3, 5]",4,4,[1 2 3 5]
129887,156906,,"[1, 2, 5, 25]","[1, 2, 5, 25]",[],4,0,[1 2]
131190,159730,,"[21, 37]","[21, 37]",[],2,0,[3 4]
131327,52270,"[1, 2]","[1, 2, 20, 40]","[1, 2, 20, 40]","[1, 2]",4,2,[1 2]
132663,4726,"[1, 4]","[1, 3, 5, 29, 51]","[1, 3, 5, 29, 51]","[1, 4]",5,2,[1 4]
133207,163398,,"[1, 5]","[1, 5]",[],2,0,[1 4]
